MESSAGE SIZE,TOTAL TIME
464000000,0.080515
480000000,0.080079
496000000,0.083925
512000000,0.088178
528000000,0.088884
544000000,0.095826
560000000,0.103946
576000000,0.100342
592000000,0.106377
608000000,0.106727
624000000,0.109290
640000000,0.114483
656000000,0.113738
672000000,0.118310
688000000,0.120962
704000000,0.121131
720000000,0.126116
736000000,0.127116
752000000,0.128815
768000000,0.137171
784000000,0.132248
800000000,0.137322
816000000,0.142734
832000000,0.140533
848000000,0.147733
864000000,0.147555
880000000,0.150315
896000000,0.155883
912000000,0.153104
928000000,0.159430
944000000,0.164866
960000000,0.160500
976000000,0.168555
992000000,0.173035
1008000000,0.170221
1024000000,0.176644
1040000000,0.177609
1056000000,0.179973
1072000000,0.186233
1088000000,0.188199
1104000000,0.195265
1120000000,0.201857
1136000000,0.196858
1152000000,0.204320
1168000000,0.204994
1184000000,0.205729
1200000000,0.213189
1216000000,0.207548
1232000000,0.215399
1248000000,0.222231
1264000000,0.216969
1280000000,0.224203
1296000000,0.225362
1312000000,0.226780
1328000000,0.233592
1344000000,0.227840
1360000000,0.235198
1376000000,0.242956
1392000000,0.235985
1408000000,0.245819
1424000000,0.253837
1440000000,0.246736
1456000000,0.254144
1472000000,0.255416
1488000000,0.254917
1504000000,0.263993
1520000000,0.257451
1536000000,0.265288
1552000000,0.272665
1568000000,0.265622
1584000000,0.275420
1600000000,0.275249
1616000000,0.275950
1632000000,0.285610
1648000000,0.276844
1664000000,0.285986
1680000000,0.292125
1696000000,0.287188
1712000000,0.293103
1728000000,0.295500
1744000000,0.295136
1760000000,0.305271
1776000000,0.296241
1792000000,0.305412
1808000000,0.313867
1824000000,0.306261
1840000000,0.315164
1856000000,0.324584
1872000000,0.315450
1888000000,0.325712
1904000000,0.324701
1920000000,0.325935
1936000000,0.333855
1952000000,0.325137
1968000000,0.336143
1984000000,0.341331
2000000000,0.335544
2016000000,0.345343
2032000000,0.346020
2048000000,0.345189
2064000000,0.355043
2080000000,0.345551
2096000000,0.355325
2112000000,0.365070
2128000000,0.355722
2144000000,0.365817
16000000,0.003924
32000000,0.007328
48000000,0.009303
64000000,0.012079
80000000,0.014647
96000000,0.018189
112000000,0.020139
128000000,0.022694
144000000,0.026658
160000000,0.027698
176000000,0.031253
192000000,0.032995
208000000,0.036499
224000000,0.037663
240000000,0.042957
256000000,0.043111
272000000,0.047407
288000000,0.049022
304000000,0.050768
320000000,0.054583
336000000,0.057049
352000000,0.058459
368000000,0.063272
384000000,0.065318
400000000,0.066750
416000000,0.068821
432000000,0.070700
448000000,0.075389
464000000,0.076412
480000000,0.078387
496000000,0.083291
512000000,0.085342
528000000,0.086433
544000000,0.096064
560000000,0.101141
576000000,0.100134
592000000,0.104805
608000000,0.106255
624000000,0.108432
640000000,0.109879
656000000,0.111608
672000000,0.116134
688000000,0.118492
704000000,0.119894
720000000,0.121645
736000000,0.123644
752000000,0.128055
768000000,0.130177
784000000,0.131784
800000000,0.138213
816000000,0.138050
832000000,0.140211
848000000,0.142194
864000000,0.147386
880000000,0.148515
896000000,0.151791
912000000,0.152347
928000000,0.157953
944000000,0.159306
960000000,0.161287
976000000,0.167875
992000000,0.168603
1008000000,0.169985
1024000000,0.171371
1040000000,0.172338
1056000000,0.181254
1072000000,0.180319
1088000000,0.183432
1104000000,0.194078
1120000000,0.194298
1136000000,0.196698
1152000000,0.197188
1168000000,0.197433
1184000000,0.204902
1200000000,0.205229
1216000000,0.206223
1232000000,0.214179
1248000000,0.214475
1264000000,0.216475
1280000000,0.216138
1296000000,0.218384
1312000000,0.224950
1328000000,0.226333
1344000000,0.226827
1360000000,0.232973
1376000000,0.235303
1392000000,0.235432
1408000000,0.243080
1424000000,0.243887
1440000000,0.245043
1456000000,0.246240
1472000000,0.246049
1488000000,0.254154
1504000000,0.255752
1520000000,0.255351
1536000000,0.264263
1552000000,0.263765
1568000000,0.264272
1584000000,0.265348
1600000000,0.265740
1616000000,0.276403
1632000000,0.274917
1648000000,0.276187
1664000000,0.282584
1680000000,0.285302
1696000000,0.285619
1712000000,0.286505
1728000000,0.285979
1744000000,0.295251
1760000000,0.295292
1776000000,0.294684
1792000000,0.303449
1808000000,0.303985
1824000000,0.303861
1840000000,0.313460
1856000000,0.314536
1872000000,0.314245
1888000000,0.314039
1904000000,0.314773
1920000000,0.324195
1936000000,0.323970
1952000000,0.325423
1968000000,0.334795
1984000000,0.334811
2000000000,0.335409
2016000000,0.335164
2032000000,0.334620
2048000000,0.345385
2064000000,0.344431
2080000000,0.344367
2096000000,0.354333
2112000000,0.354746
2128000000,0.354118
2144000000,0.354642
16000000,0.004145
32000000,0.007355
48000000,0.009425
64000000,0.012073
80000000,0.014897
96000000,0.017986
112000000,0.019797
128000000,0.022774
144000000,0.025629
160000000,0.028160
176000000,0.031853
192000000,0.033088
208000000,0.036236
224000000,0.037148
240000000,0.040812
256000000,0.043600
272000000,0.045920
288000000,0.050129
304000000,0.054036
320000000,0.054138
336000000,0.058297
352000000,0.058871
368000000,0.062638
384000000,0.067048
400000000,0.066081
416000000,0.070092
432000000,0.072585
448000000,0.074109
464000000,0.078558
480000000,0.079983
496000000,0.082448
512000000,0.086522
528000000,0.085191
544000000,0.096757
560000000,0.104027
576000000,0.098619
592000000,0.104124
608000000,0.104161
624000000,0.107306
640000000,0.112876
656000000,0.109870
672000000,0.116749
688000000,0.119649
704000000,0.117895
720000000,0.126092
736000000,0.125377
752000000,0.127144
768000000,0.131762
784000000,0.130499
800000000,0.134693
816000000,0.140237
832000000,0.137774
848000000,0.144981
864000000,0.145753
880000000,0.146991
896000000,0.153043
912000000,0.155947
928000000,0.155746
944000000,0.164287
960000000,0.158520
976000000,0.165300
992000000,0.171894
1008000000,0.167233
1024000000,0.173435
1040000000,0.174296
1056000000,0.175468
1072000000,0.181699
1088000000,0.181656
1104000000,0.191503
1120000000,0.196936
1136000000,0.193127
1152000000,0.199793
1168000000,0.201319
1184000000,0.201760
1200000000,0.208839
1216000000,0.204332
1232000000,0.210692
1248000000,0.219224
1264000000,0.212797
1280000000,0.221259
1296000000,0.220209
1312000000,0.222720
1328000000,0.230169
1344000000,0.231354
1360000000,0.232720
1376000000,0.240095
1392000000,0.234290
1408000000,0.241370
1424000000,0.250136
1440000000,0.242912
1456000000,0.252381
1472000000,0.252404
1488000000,0.251972
1504000000,0.259755
1520000000,0.255499
1536000000,0.261236
1552000000,0.269123
1568000000,0.263039
1584000000,0.272254
1600000000,0.271563
1616000000,0.272271
1632000000,0.279752
1648000000,0.274132
1664000000,0.281423
1680000000,0.289195
1696000000,0.281472
1712000000,0.290055
1728000000,0.290818
1744000000,0.290463
1760000000,0.299903
1776000000,0.300752
1792000000,0.300214
1808000000,0.307386
1824000000,0.301221
1840000000,0.309208
1856000000,0.319292
1872000000,0.310198
1888000000,0.320952
1904000000,0.319959
1920000000,0.320287
1936000000,0.329657
1952000000,0.319899
1968000000,0.330036
1984000000,0.339628
2000000000,0.330257
2016000000,0.338557
2032000000,0.339803
2048000000,0.340024
2064000000,0.348694
2080000000,0.339455
2096000000,0.350446
2112000000,0.358796
2128000000,0.348816
2144000000,0.359416
